what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1417608333775
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1417608333775
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1417608333775
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1417608333775
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1417608333775
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1417608333775
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1417608333775
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1417608333775
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1417608333775
started,bundle,com.python.pydev,3.9.0.201411111611,"com.python.pydev",1417608333775
started,bundle,com.python.pydev.analysis,3.9.0.201411111611,"com.python.pydev.analysis",1417608333775
started,bundle,com.python.pydev.codecompletion,3.9.0.201411111611,"com.python.pydev.codecompletion",1417608333775
started,bundle,com.python.pydev.refactoring,3.9.0.201411111611,"com.python.pydev.refactoring",1417608333775
started,bundle,org.python.pydev,3.9.0.201411111611,"org.python.pydev",1417608333775
started,bundle,org.python.pydev.core,3.9.0.201411111611,"org.python.pydev.core",1417608333775
started,bundle,org.python.pydev.debug,3.9.0.201411111611,"org.python.pydev.debug",1417608333775
started,bundle,org.python.pydev.django,3.9.0.201411111611,"org.python.pydev.django",1417608333775
started,bundle,org.python.pydev.jython,3.9.0.201411111611,"org.python.pydev.jython",1417608333775
started,bundle,org.python.pydev.parser,3.9.0.201411111611,"org.python.pydev.parser",1417608333775
started,bundle,org.python.pydev.refactoring,3.9.0.201411111611,"org.python.pydev.refactoring",1417608333775
started,bundle,org.python.pydev.shared_core,3.9.0.201411111611,"org.python.pydev.shared_core",1417608333775
