what,kind,bundleId,bundleVersion,description,time
error,log,,,"Exception occurred while saving project preferences: /Asocreto/.settings/org.eclipse.core.resources.prefs.",1418507264360
error,log,,,"Could not save encoding settings.",1418507264470
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1418507303285
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418507306066
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418507331536
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418507580200
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1418507600614
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1418507603146
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418507661369
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418507669935
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418507671342
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418507674740
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418507690517
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418507691218
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418507696053
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418507699506
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1418507700194
executed,command,org.python.pydev.debug,3.9.0.201411111611,"org.python.pydev.debug.ui.actions.runEditorBasedOnNatureTypeAction",1418507703683
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1418507722234
executed,command,org.python.pydev.debug,3.9.0.201411111611,"org.python.pydev.debug.ui.actions.runEditorBasedOnNatureTypeAction",1418507724031
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418507724750
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418507735411
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1418507763993
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418507766516
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418507770661
